Epoch [323/10000] | D: -40.4556 | G: -351.1743
Epoch [324/10000] | D: -39.4938 | G: -256.6017
Epoch [325/10000] | D: -32.5139 | G: -315.9801
Epoch [326/10000] | D: -47.1784 | G: -276.3186
Epoch [327/10000] | D: -10.6050 | G: -230.8717
Epoch [328/10000] | D: -3.7306 | G: -284.6982
Epoch [329/10000] | D: -18.4295 | G: -277.3253
Epoch [330/10000] | D: -7.8850 | G: -189.5785
Epoch [331/10000] | D: -7.8146 | G: -270.2901
Epoch [332/10000] | D: -27.0250 | G: -183.9544
Epoch [333/10000] | D: -24.1638 | G: -262.1857
Epoch [334/10000] | D: -21.3268 | G: -302.4245
Epoch [335/10000] | D: 9.6667 | G: -286.6304
Epoch [336/10000] | D: -22.2917 | G: -266.6693
Epoch [337/10000] | D: -35.1079 | G: -300.9293
Epoch [338/10000] | D: -33.9704 | G: -252.4214
Epoch [339/10000] | D: -12.3635 | G: -263.9550
Epoch [340/10000] | D: -21.6068 | G: -175.6781
Epoch [341/10000] | D: -26.6001 | G: -309.3170
Epoch [342/10000] | D: -7.6231 | G: -312.8751
Epoch [343/10000] | D: -28.7145 | G: -299.3101
Epoch [344/10000] | D: -41.9063 | G: -301.5563
Epoch [345/10000] | D: -9.0280 | G: -410.4740
Epoch [346/10000] | D: -18.8809 | G: -277.1214
Epoch [347/10000] | D: -6.2729 | G: -247.4881
Epoch [348/10000] | D: -24.1726 | G: -286.3382
Epoch [349/10000] | D: -2.9750 | G: -268.0220
Epoch [350/10000] | D: -32.8547 | G: -233.9141
Epoch [351/10000] | D: -0.0076 | G: -341.9517
Epoch [352/10000] | D: -22.7023 | G: -270.6409
Epoch [353/10000] | D: -8.7532 | G: -270.2157
Epoch [354/10000] | D: -43.2158 | G: -264.7034
Epoch [355/10000] | D: -11.3241 | G: -227.8286
Epoch [356/10000] | D: -15.6602 | G: -321.7609
Epoch [357/10000] | D: -10.0411 | G: -177.5733
Epoch [358/10000] | D: -0.2565 | G: -271.1329
Epoch [359/10000] | D: -19.9414 | G: -289.1605
Epoch [360/10000] | D: -13.6786 | G: -251.4377
Epoch [361/10000] | D: -17.0288 | G: -191.0095
Epoch [362/10000] | D: -2.8369 | G: -291.0199
Epoch [363/10000] | D: -9.3123 | G: -266.1220
Epoch [364/10000] | D: -49.3491 | G: -241.0588
Epoch [365/10000] | D: -21.6518 | G: -246.6149
Epoch [366/10000] | D: -18.5496 | G: -305.9302
Epoch [367/10000] | D: -9.2567 | G: -221.8983
Epoch [368/10000] | D: -10.2984 | G: -184.8726
Epoch [369/10000] | D: -26.8532 | G: -216.0830
Epoch [370/10000] | D: -24.1593 | G: -114.0037
Epoch [371/10000] | D: -5.3036 | G: -247.0322
Epoch [372/10000] | D: -48.2857 | G: -296.7221
Epoch [373/10000] | D: -20.7982 | G: -304.7198
Epoch [374/10000] | D: -43.0444 | G: -363.6135
Epoch [375/10000] | D: -17.2639 | G: -257.3229
Epoch [376/10000] | D: -11.9156 | G: -280.4855
Epoch [377/10000] | D: -29.0064 | G: -342.1909
Epoch [378/10000] | D: 0.2614 | G: -264.6523
Epoch [379/10000] | D: -3.8478 | G: -300.0466
Epoch [380/10000] | D: -11.8833 | G: -281.3260
Epoch [381/10000] | D: -22.3296 | G: -266.1816
Epoch [382/10000] | D: -9.5836 | G: -240.1195
Epoch [383/10000] | D: -23.3257 | G: -268.5413
Epoch [384/10000] | D: -17.2548 | G: -218.5908
Epoch [385/10000] | D: -49.5875 | G: -338.4612
Epoch [386/10000] | D: -20.5258 | G: -232.0844
Epoch [387/10000] | D: -40.1800 | G: -208.6270
Epoch [388/10000] | D: -15.7463 | G: -254.1225
Epoch [389/10000] | D: -13.2405 | G: -240.9324
Epoch [390/10000] | D: -19.1605 | G: -161.9479
Epoch [391/10000] | D: -48.5492 | G: -384.5027
Epoch [392/10000] | D: -32.5106 | G: -147.2735
Epoch [393/10000] | D: -28.1741 | G: -248.2290
Epoch [394/10000] | D: -1.2215 | G: -282.9142
Epoch [395/10000] | D: -38.9266 | G: -295.8616
Epoch [396/10000] | D: -45.1991 | G: -319.7560
Epoch [397/10000] | D: -7.7583 | G: -217.3070
Epoch [398/10000] | D: -30.1618 | G: -382.7330
Epoch [399/10000] | D: -13.7121 | G: -331.2034
Epoch [400/10000] | D: -51.5572 | G: -327.1176
Váhy pro generátor a diskriminátor při epoše 400 byly uloženy.
Vizualizace mřížky pro epochu 400
Obrázek uložen do vizualizace\epoch_00400.png
Epoch [401/10000] | D: -6.5873 | G: -256.5620
Epoch [402/10000] | D: -34.2622 | G: -335.7310
Epoch [403/10000] | D: -31.4865 | G: -322.5089
Epoch [404/10000] | D: -3.8026 | G: -336.6403
Epoch [405/10000] | D: 0.8398 | G: -351.1024
Epoch [406/10000] | D: -3.6920 | G: -320.7892
Epoch [407/10000] | D: -5.7043 | G: -382.0860
Epoch [408/10000] | D: -4.9615 | G: -253.4250
Epoch [409/10000] | D: -23.2574 | G: -347.5527
Epoch [410/10000] | D: -7.7113 | G: -228.5574
Epoch [411/10000] | D: -22.5668 | G: -364.4842
Epoch [412/10000] | D: -14.7377 | G: -277.9953
