Epoch [222/10000] | D: -67.7473 | G: -272.0685
Epoch [223/10000] | D: -2.4296 | G: -124.5624
Epoch [224/10000] | D: -22.8276 | G: -212.5071
Epoch [225/10000] | D: -30.9997 | G: -377.2895
Epoch [226/10000] | D: -37.7022 | G: -357.1731
Epoch [227/10000] | D: -74.3347 | G: -614.7583
Epoch [228/10000] | D: -31.5374 | G: -213.4257
Epoch [229/10000] | D: -29.6348 | G: -88.5625
Epoch [230/10000] | D: -78.7774 | G: -512.3522
Epoch [231/10000] | D: -63.8373 | G: -325.7911
Epoch [232/10000] | D: -35.0382 | G: -528.2216
Epoch [233/10000] | D: -51.0717 | G: -348.6106
Epoch [234/10000] | D: -85.9398 | G: -356.7758
Epoch [235/10000] | D: -57.7419 | G: -346.6631
Epoch [236/10000] | D: -68.6651 | G: -233.5397
Epoch [237/10000] | D: -30.5638 | G: -154.9193
Epoch [238/10000] | D: -49.3361 | G: -167.2770
Epoch [239/10000] | D: -88.9716 | G: -678.2340
Epoch [240/10000] | D: -2.8382 | G: -359.8236
Epoch [241/10000] | D: -36.9633 | G: -190.6650
Epoch [242/10000] | D: -66.3486 | G: -121.1385
Epoch [243/10000] | D: -22.0336 | G: -201.3482
Epoch [244/10000] | D: -83.0510 | G: -316.5955
Epoch [245/10000] | D: -54.6707 | G: -316.9092
Epoch [246/10000] | D: -44.9831 | G: -228.2172
Epoch [247/10000] | D: -47.0850 | G: -696.4478
Epoch [248/10000] | D: -11.7570 | G: -347.8095
Epoch [249/10000] | D: -29.3697 | G: -351.8353
Epoch [250/10000] | D: -85.0374 | G: -359.4186
Epoch [251/10000] | D: -52.2158 | G: -240.9749
Epoch [252/10000] | D: -53.9557 | G: -217.5005
Epoch [253/10000] | D: -38.5876 | G: -450.3035
Epoch [254/10000] | D: 7.8303 | G: -237.5535
Epoch [255/10000] | D: -31.2518 | G: -85.2643
Epoch [256/10000] | D: -69.8346 | G: -210.5168
Epoch [257/10000] | D: -11.9809 | G: -307.4432
Epoch [258/10000] | D: -62.8995 | G: -299.2454
Epoch [259/10000] | D: -38.3644 | G: -226.9998
Epoch [260/10000] | D: -59.3878 | G: -204.0694
Epoch [261/10000] | D: -72.2088 | G: -458.1090
Epoch [262/10000] | D: -37.4533 | G: -195.8475
Epoch [263/10000] | D: 8.0587 | G: -313.3309
Epoch [264/10000] | D: -48.1944 | G: -310.5359
Epoch [265/10000] | D: -38.7259 | G: -279.2661
Epoch [266/10000] | D: -50.5555 | G: -274.5262
Epoch [267/10000] | D: -60.4619 | G: -298.9825
Epoch [268/10000] | D: -74.5646 | G: -53.1588
Epoch [269/10000] | D: -37.2252 | G: -278.8833
Epoch [270/10000] | D: -21.6618 | G: -91.7651
Epoch [271/10000] | D: -45.0234 | G: -516.1902
Epoch [272/10000] | D: -58.3884 | G: -74.4191
Epoch [273/10000] | D: -50.9799 | G: -308.2510
Epoch [274/10000] | D: -17.4810 | G: -263.4466
Epoch [275/10000] | D: -56.1650 | G: -10.4194
Epoch [276/10000] | D: -53.9606 | G: -253.5663
Epoch [277/10000] | D: -20.2872 | G: -117.1995
Epoch [278/10000] | D: -22.0767 | G: -276.2729
Epoch [279/10000] | D: -71.6759 | G: -58.5765
Epoch [280/10000] | D: -47.4994 | G: -212.2173
Epoch [281/10000] | D: -39.8361 | G: -368.4268
Epoch [282/10000] | D: -14.9627 | G: -287.7034
Epoch [283/10000] | D: 4.5705 | G: -297.2495
Epoch [284/10000] | D: -41.1502 | G: -178.6228
Epoch [285/10000] | D: -56.3910 | G: -443.8351
Epoch [286/10000] | D: 13.2430 | G: -291.2791
Epoch [287/10000] | D: -23.3817 | G: -133.7542
Epoch [288/10000] | D: -32.0882 | G: -230.3248
Epoch [289/10000] | D: -42.2776 | G: -387.6743
Epoch [290/10000] | D: -50.9663 | G: -320.0222
Epoch [291/10000] | D: -24.1981 | G: -218.4181
Epoch [292/10000] | D: -69.5647 | G: -320.6307
Epoch [293/10000] | D: -80.0075 | G: -436.3508
Epoch [294/10000] | D: -38.1133 | G: -88.1591
Epoch [295/10000] | D: -50.2263 | G: -186.7156
Epoch [296/10000] | D: -32.4802 | G: -288.0034
Epoch [297/10000] | D: 6.3781 | G: -173.9474
Epoch [298/10000] | D: -53.5089 | G: -205.5336
Epoch [299/10000] | D: -58.3069 | G: -302.8759
Epoch [300/10000] | D: -59.7722 | G: -69.0965
Váhy pro generátor a diskriminátor při epoše 300 byly uloženy.
Vizualizace mřížky pro epochu 300
Obrázek uložen do vizualizace\epoch_00300.png
Epoch [301/10000] | D: -52.5790 | G: -214.0293
Epoch [302/10000] | D: 5.9150 | G: -343.9337
Epoch [303/10000] | D: -29.5530 | G: -178.1659
Epoch [304/10000] | D: -12.2860 | G: -393.1406
Epoch [305/10000] | D: -36.7154 | G: -371.9436
Epoch [306/10000] | D: -41.9951 | G: -297.2101
Epoch [307/10000] | D: -4.9364 | G: -263.0785
Epoch [308/10000] | D: -31.7715 | G: -245.5485
Epoch [309/10000] | D: -68.6352 | G: -147.4289
Epoch [310/10000] | D: -49.1532 | G: -223.9334
Epoch [311/10000] | D: -7.8429 | G: -328.6267
Epoch [312/10000] | D: -39.2797 | G: -304.5549
Epoch [313/10000] | D: -35.6959 | G: -265.4562
Epoch [314/10000] | D: -47.2469 | G: -435.9816
Epoch [315/10000] | D: -40.1583 | G: 83.1041
Epoch [316/10000] | D: -64.7331 | G: -107.3956
Epoch [317/10000] | D: -64.3366 | G: -86.1060
Epoch [318/10000] | D: -33.4062 | G: -150.3641
Epoch [319/10000] | D: -74.3778 | G: -306.3930
Epoch [320/10000] | D: 11.9481 | G: -268.7731
Epoch [321/10000] | D: -47.0803 | G: -590.3849
Epoch [322/10000] | D: -42.0858 | G: -308.7841
Epoch [323/10000] | D: -58.0809 | G: -415.4233
Epoch [324/10000] | D: -38.3053 | G: -492.9918
Epoch [325/10000] | D: -29.0463 | G: -353.4644
Epoch [326/10000] | D: -68.5255 | G: -209.7397
Epoch [327/10000] | D: -37.4985 | G: -401.9996
Epoch [328/10000] | D: 4.2077 | G: -347.6770
Epoch [329/10000] | D: -21.0091 | G: -402.6710
Epoch [330/10000] | D: -14.5655 | G: -252.1035
Epoch [331/10000] | D: -74.1238 | G: -308.7803
Epoch [332/10000] | D: -43.9619 | G: -248.2154
Epoch [333/10000] | D: -63.4857 | G: -487.2124
Epoch [334/10000] | D: -25.9560 | G: -237.0642
Epoch [335/10000] | D: -49.6453 | G: -408.9642
Epoch [336/10000] | D: -0.3949 | G: -444.8956
Epoch [337/10000] | D: -35.9527 | G: -407.0137
Epoch [338/10000] | D: -50.6717 | G: -367.1389
Epoch [339/10000] | D: -25.0031 | G: -297.0065
Epoch [340/10000] | D: -55.2595 | G: -411.1094
Epoch [341/10000] | D: 9.7102 | G: -297.3882
Epoch [342/10000] | D: 12.7904 | G: -250.1508
Epoch [343/10000] | D: -58.3808 | G: -234.5050
Epoch [344/10000] | D: -17.4079 | G: -362.2083
Epoch [345/10000] | D: -47.3716 | G: -67.6452
Epoch [346/10000] | D: 3.6286 | G: -226.6025
Epoch [347/10000] | D: -19.4635 | G: -360.3121
Epoch [348/10000] | D: -77.4436 | G: -391.9634
Epoch [349/10000] | D: -15.9475 | G: -49.8730
Epoch [350/10000] | D: -5.2654 | G: -233.9949
